_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608e71fe11522f1d30b570|1514460|2023-05-14 07:29:32.176|9|SendData 009216|2023-05-14 07:54:46.636|packet|send|009216|15009216
64608e71fe11522f1d30b571|1514638|2023-05-14 07:29:32.176|7|SendData 007218|2023-05-14 07:54:46.814|packet|send|007218|15007218
64608e71fe11522f1d30b572|1514709|2023-05-14 07:29:32.176|2|RecvData 007218|2023-05-14 07:54:46.885|packet|recv|007218|15007218
64608e71fe11522f1d30b573|1514754|2023-05-14 07:29:32.176|2|RecvData 009216|2023-05-14 07:54:46.930|packet|recv|009216|15009216
64608e71fe11522f1d30b574|1515080|2023-05-14 07:29:32.176|6|SendData 006219|2023-05-14 07:54:47.256|packet|send|006219|15006219
64608e71fe11522f1d30b575|1515124|2023-05-14 07:29:32.176|5|SendData 005220|2023-05-14 07:54:47.300|packet|send|005220|15005220
64608e71fe11522f1d30b576|1515159|2023-05-14 07:29:32.176|2|RecvData 005220|2023-05-14 07:54:47.335|packet|recv|005220|15005220
64608e71fe11522f1d30b577|1515189|2023-05-14 07:29:32.176|2|RecvData 006219|2023-05-14 07:54:47.365|packet|recv|006219|15006219
64608e71fe11522f1d30b578|1515424|2023-05-14 07:29:32.176|12|SendData 012213|2023-05-14 07:54:47.600|packet|send|012213|15012213
64608e71fe11522f1d30b579|1515458|2023-05-14 07:29:32.176|11|SendData 011214|2023-05-14 07:54:47.634|packet|send|011214|15011214
64608e71fe11522f1d30b57a|1515584|2023-05-14 07:29:32.176|3|SendData 003222|2023-05-14 07:54:47.760|packet|send|003222|15003222
64608e71fe11522f1d30b57b|1515750|2023-05-14 07:29:32.176|8|SendData 008217|2023-05-14 07:54:47.926|packet|send|008217|15008217
64608e71fe11522f1d30b57c|1515785|2023-05-14 07:29:32.176|1|RecvData 003222|2023-05-14 07:54:47.961|packet|recv|003222|15003222
64608e71fe11522f1d30b57d|1515816|2023-05-14 07:29:32.176|1|RecvData 008217|2023-05-14 07:54:47.992|packet|recv|008217|15008217
64608e71fe11522f1d30b57e|1515861|2023-05-14 07:29:32.176|1|RecvData 012213|2023-05-14 07:54:48.037|packet|recv|012213|15012213
64608e71fe11522f1d30b57f|1515951|2023-05-14 07:29:32.176|1|RecvData 011214|2023-05-14 07:54:48.127|packet|recv|011214|15011214
64608e71fe11522f1d30b580|1516231|2023-05-14 07:29:32.176|10|SendData 010215|2023-05-14 07:54:48.407|packet|send|010215|15010215
